,,
Dark Trap,0.65,0.223
Dark Trap,0.35,0.556
Dark Trap,0.98,6.24
Dark Trap,0.56,12
Dark Trap,0.67,15.02
Dark Trap,0.63,18
Dark Trap,0.63,21.1
Dark Trap,0.45,24
Dark Trap,0.74,41
Dark Trap,0.27,44
Dark Trap,0.26,50
Dark Trap,0.68,95.50
Dark Trap,0.43,111
Dark Trap,0.48,225
Dark Trap,0.94,608
Dark Trap,0.49,666
Dark Trap,0.31,777
Dark Trap,0.38,776
Dark Trap,0.45,1000
Dark Trap,0.94,1755
Dark Trap,0.52,1968
Dark Trap,0.65,1992
Dark Trap,0.52,1996
Dark Trap,0.79,1998
Dark Trap,0.60,2006
Dark Trap,0.65,2029
Dark Trap,0.89,2200
Dark Trap,0.40,3420
Dark Trap,0.70,4400
Dark Trap,0.74,5150
Dark Trap,0.48,-lifeline-
Dark Trap,0.84,???????
Dark Trap,0.43,...And So It Was
Dark Trap,0.51,...And To Those I Love, Thanks For Sticking Around
Dark Trap,0.51,And To Those I Love
Dark Trap,0.92,...It Goes On
Dark Trap,0.61,'96 Neve Campbell
Dark Trap,0.33,Enough.
Dark Trap,0.61,Life
Dark Trap,0.33,You said you love me...
Dark Trap,0.38,(BONUS) Coinstar (Prod. by Fleece)
Dark Trap,0.72,[whispers indistinctly]
Dark Trap,0.49,@ MEH
Dark Trap,0.41,\Void\
Dark Trap,0.48,#1 Stunna
Dark Trap,0.38,%%%% (feat. Lucki, Deezy)
Dark Trap,0.52,$outh $ide $uicide
Dark Trap,0.53,$outh $ide $uicide
Dark Trap,0.39,$tars
Dark Trap,0.51,$UICIDEWAVE
Dark Trap,0.64,$wamp
Dark Trap,0.49,00101111 01001101 01001001 01000001
Dark Trap,0.46,01:13
Dark Trap,0.79,01000100 01010000 01010011 00101011
Dark Trap,0.61,01000111 00110010 01000111 00101110
Dark Trap,0.72,06 Burst
Dark Trap,0.60,1 0 W O O D $
Dark Trap,0.67,1 fEeL LiKE sOCrAtEs
Dark Trap,0.38,1:1
Dark Trap,0.90,1:11
Dark Trap,0.73,10,000 Degrees
Dark Trap,0.62,100 Styles
Dark Trap,0.76,1000 Rounds
Dark Trap,0.64,1000 Ways To Get Paid
Dark Trap,0.45,100K
Dark Trap,0.38,122 Days
Dark Trap,0.88,14U+14ME - What So Not & SLUMBERJACK RESET
Dark Trap,0.45,16 Lines
Dark Trap,0.92,16 TOES
Dark Trap,0.34,16!
Dark Trap,0.94,1punch
Dark Trap,0.41,2 AM
Dark Trap,0.68,2 Face
Dark Trap,0.45,2 Hearts
Dark Trap,0.62,2 Hot 4 U (feat. $Uicdeboy$)
Dark Trap,0.66,2 Radical Diss
Dark Trap,0.50,2 Step
Dark Trap,0.54,2 Weeks Later
Dark Trap,0.64,2:45
Dark Trap,0.69,2000 Rounds
Dark Trap,0.26,2002 / Asia Interlude
Dark Trap,0.91,2020 PHARMACY FREESTYLE
Dark Trap,0.73,20k
Dark Trap,0.75,20th CENTURION
Dark Trap,0.94,25 Cobainen
Dark Trap,0.82,25i
Dark Trap,0.79,26 Grand
Dark Trap,0.84,275 $uicide
Dark Trap,0.49,281-330-8004
Dark Trap,0.61,2doses
Dark Trap,0.69,2FIDDY!
Dark Trap,0.43,2nd Hand
Dark Trap,0.58,2Stroke
Dark Trap,0.57,3 Xans
Dark Trap,0.96,3-6 Destruction
Dark Trap,0.40,30_30_no_halves
Dark Trap,0.68,30DayFreeTrial
Dark Trap,0.34,30th Floor
Dark Trap,0.42,314 (feat. Night Lovell)
Dark Trap,0.22,333 Angels
Dark Trap,0.86,33rd Blakk Glass
Dark Trap,0.47,3am
Dark Trap,0.55,3am
Dark Trap,0.63,3rd Degree
Dark Trap,0.77,4 am
Dark Trap,0.43,4 Gold Chains - (feat. Clams Casino)
Dark Trap,0.51,4 LIFE
Dark Trap,0.63,4 Quarters
Dark Trap,0.51,4:29
Dark Trap,0.43,40oz
Dark Trap,0.84,40z and Shorties
Dark Trap,0.56,44 BullDog
Dark Trap,0.52,4Peat
Dark Trap,0.39,5 AM
Dark Trap,0.30,50 G Smoked Out
Dark Trap,0.79,50 Reasons Why
Dark Trap,0.56,500 on Me
Dark Trap,0.48,5EasyPayments
Dark Trap,0.55,6 6 6 F O R E V E R (feat. $Uicideboy$)
Dark Trap,0.51,7 Hunna Horses
Dark Trap,0.91,7.62x39mm
Dark Trap,0.70,7upinthenite
Dark Trap,0.39,8 Days
Dark Trap,0.58,8:45
Dark Trap,0.92,808 ROCK
Dark Trap,0.70,9 Eleven - Instrumental
Dark Trap,0.77,9 Eleven, Pt. 2
Dark Trap,0.80,94s (feat. Wicca Phase Springs Eternal)
Dark Trap,0.79,98 DEGREES
Dark Trap,0.64,A Bridge Over Novocaine - Tim Schaufert Remix
Dark Trap,0.68,A CHANGE OF WEATHER
